Frequency,Environment,Growth
0.1,Air,2.08
0.1,Air,2.81
0.1,Air,2.71
0.1,Air,2.24
1,Air,2.38
1,Air,2.06
1,Air,2.68
1,Air,2.65
10,Air,2.12
10,Air,2.48
10,Air,2.47
10,Air,2.29
0.1,H20,11.3
0.1,H20,10.9
0.1,H20,11
0.1,H20,11
1,H20,3.64
1,H20,3.96
1,H20,3.18
1,H20,3.2
10,H20,2.03
10,H20,2.23
10,H20,2.05
10,H20,2.06
0.1,Salt H20,10.2
0.1,Salt H20,9.86
0.1,Salt H20,10.01
0.1,Salt H20,9.96
1,Salt H20,3.24
1,Salt H20,3.98
1,Salt H20,3.24
1,Salt H20,3.1
10,Salt H20,2.06
10,Salt H20,1.75
10,Salt H20,1.93
10,Salt H20,1.9
